"team_id","team","team_name_short","team_name_symbol","competition_id","competition"
5420,Pau,Pau,PAU,104,Ligue 2
5513,Philadelphia Union,Philadelphia,PHI,98,US Major League Soccer
5621,Tampa Bay Rowdies,Tampa Bay Rowdies,TBR,807,USL Championship
5649,KAS Eupen,Eupen,EUP,112,Jupiler Pro League
5663,Almere City FC,Almere City,ALM,9,Eredivisie
5674,Arouca,Arouca,ARO,99,Primeira Liga
5680,Al-Ittifaq,Ittifaq,ITF,202,Saudi Pro League
5683,Granada CF,Granada CF,GRA,23,La Liga
5741,Mirandés,CD Mirandés,CDM,102,Segunda division
6339,RB Leipzig,RB Leipzig,RBL,22,Bundesliga
6374,Unión Santa Fe,Unión,UNI,724,Liga Profesional Argentina
6498,Amorebieta,Amorebieta,AMO,102,Segunda division
6555,Stade-Lausanne-Ouchy,Lausanne-Ouchy,SLO,135,Swiss Super League
6644,FC Famalicão,FC Famalicão,FAM,99,Primeira Liga
6770,Al-Ahli,Ahli,AHL,202,Saudi Pro League
6772,Al-Fateh,Fateh,FAT,202,Saudi Pro League
6773,Al-Raed,Raed,RAE,202,Saudi Pro League
6774,Al-Shabab,Shabab,SHA,202,Saudi Pro League
6778,Al-Taawon,Taawon,TAA,202,Saudi Pro League
6780,Al-Nassr,Nassr,NSR,202,Saudi Pro League
6795,Adana Demirspor,Adana Demirspor,ADE,115,Süper Lig
6846,Al-Hazm,Al-Hazm,HAZ,202,Saudi Pro League
6847,Al-Wehda,Wehda,WEH,202,Saudi Pro League
6900,Orlando City SC,Orlando,ORL,98,US Major League Soccer
6977,Minnesota United FC,Minnesota United,MIN,98,US Major League Soccer
7534,Pendikspor,Pendikspor,PEN,115,Süper Lig
8005,Red Bull Bragantino,Bragantino,BRA,363,Brazilian Serie A
8625,Defensa y Justicia,Defensa,DYJ,724,Liga Profesional Argentina
8629,Sarmiento,Sarmiento,SAR,724,Liga Profesional Argentina
8677,Orange County SC,Orange County SC,ORC,807,USL Championship
8746,Puskás,Puskás,PUS,137,Hungarian Liga NB I
9260,Fatih Karagümrük,Fatih Karagümrük,FKA,115,Süper Lig
9280,Barracas Central,Barracas Central,BAC,724,Liga Profesional Argentina
9428,Kisvárda,Kisvárda,KIS,137,Hungarian Liga NB I
9619,Abha,Abha,ABH,202,Saudi Pro League
9620,Al-Tai,Al-Tai,TAE,202,Saudi Pro League
9622,Al-Riyadh,Al-Riyadh,RIY,202,Saudi Pro League
9668,New York City FC,New York City,NYC,98,US Major League Soccer
9709,Cuiabá,Cuiabá,CUI,363,Brazilian Serie A
9830,TBC,TBC,N/A,105,Serie B
9904,Phoenix Rising,Phoenix Rising,PHX,807,USL Championship
9907,Sacramento Republic,Sacramento Republic,SAC,807,USL Championship
9908,Pittsburgh Riverhounds SC,Pittsburgh Riverhounds,PIT,807,USL Championship
9911,Indy Eleven,Indy Eleven,IND,807,USL Championship
10182,Eldense,Eldense,ELD,102,Segunda division
10483,Al-Fayha,Fayha,FEI,202,Saudi Pro League
10636,Fortaleza EC,Fortaleza EC,FOR,363,Brazilian Serie A
10752,Central Córdoba (Santiago del Estero),Central Córdoba (Santiago del Estero),CC SdE,724,Liga Profesional Argentina
10967,Louisville City,Louisville City,LOU,807,USL Championship
10969,Colorado Springs Switchbacks,Colorado Springs,COS,807,USL Championship
10970,Tacoma Defiance,Tacoma,TAC,1164,MLS Next Pro
11087,Damak,Damak,DAM,202,Saudi Pro League
11091,Atlanta United,Atlanta,ATL,98,US Major League Soccer
11317,Lamia,Lamia,None,113,Greek Super League
11426,Annecy,Annecy,ANN,104,Ligue 2
11504,FC Cincinnati,Cincinnati,CIN,98,US Major League Soccer
11521,Sporting KC II,Sporting Kansas II,SKC,1164,MLS Next Pro
11528,The Miami FC,Miami FC,MIA,807,USL Championship
11663,San Antonio,San Antonio,SA,807,USL Championship
11690,Los Angeles Football Club,Los Angeles FC,LAFC,98,US Major League Soccer
12125,New York Red Bulls II,New York Red Bulls II,RBNY,1164,MLS Next Pro
12131,Philadelphia Union II,Philadelphia II,PHI,1164,MLS Next Pro
12133,Orlando City B,Orlando B,ORL,1164,MLS Next Pro
12134,TFC II,Toronto II,TOR,1164,MLS Next Pro
12135,LA Galaxy II,LA Galaxy II,LA,1164,MLS Next Pro
12136,Timbers2,Timbers 2,POR,1164,MLS Next Pro
12137,Real Monarchs,Monarchs,SLC,1164,MLS Next Pro
12140,Rio Grande Valley,Rio Grande Valley,RGV,807,USL Championship
12141,FC Tulsa,FC Tulsa,TUL,807,USL Championship
12142,Whitecaps FC 2,Whitecaps 2,VAN,1164,MLS Next Pro
14156,Atlanta United 2,Atlanta United 2,ATL,1164,MLS Next Pro
14160,Las Vegas Lights FC,Las Vegas Lights FC,LV,807,USL Championship
14304,Detroit City FC,Detroit City FC,DET,807,USL Championship
14880,Inter Miami CF,Inter Miami CF,MIA,98,US Major League Soccer
14963,Volos NFC,Volos NFC,None,113,Greek Super League
15140,North Texas SC,North Texas,NTX,1164,MLS Next Pro
15145,Birmingham Legion,Birmingham Legion,BHM,807,USL Championship
15146,Hartford Athletic,Hartford Athletic,HFD,807,USL Championship
15147,Loudoun United,Loudoun United,LDN,807,USL Championship
15148,Memphis 901,Memphis 901,MEM,807,USL Championship
15150,El Paso Locomotive,El Paso Locomotive,ELP,807,USL Championship
15151,New Mexico United,New Mexico United,NM,807,USL Championship
15154,Nashville SC,Nashville,NSH,98,US Major League Soccer
15207,Al-Akhdoud,Al-Akhdoud,AKH,202,Saudi Pro League
15296,Austin FC,Austin FC,ATX,98,US Major League Soccer
16310,FC Andorra,FC Andorra,AND,102,Segunda division
16495,San Diego Loyal,San Diego Loyal,SD,807,USL Championship
16496,New England Revolution II,Revolution II,NE,1164,MLS Next Pro
16550,Oakland Roots,Oakland Roots,OAK,807,USL Championship
16629,Charlotte FC,Charlotte,CLT,98,US Major League Soccer
16693,RWDM,RWDM,RWD,112,Jupiler Pro League
17012,St. Louis City SC,St. Louis,STL,98,US Major League Soccer
17370,Estrela,Estrela,CFE,99,Primeira Liga
18775,Kifisia,Kifisia,KIF,113,Greek Super League
18778,Monterey Bay,Monterey Bay,MB,807,USL Championship
19193,Chicago Fire FC II,Chicago Fire II,CHI,1164,MLS Next Pro
19194,Colorado Rapids 2,Colorado Rapids 2,COL,1164,MLS Next Pro
19195,Columbus Crew 2,Columbus 2,CLB,1164,MLS Next Pro
19196,FC Cincinnati 2,Cincinnati,CIN,1164,MLS Next Pro
19197,Houston Dynamo 2,Houston Dynamo 2,HOU,1164,MLS Next Pro
19198,Inter Miami II,Inter Miami II,MIA,1164,MLS Next Pro
19199,MNUFC2,Minnesota United 2,MIN,1164,MLS Next Pro
19200,NYCFC II,New York City II,NYC,1164,MLS Next Pro
19201,Earthquakes II,Earthquakes 2,SJ,1164,MLS Next Pro
19202,St Louis CITY2,St. Louis 2,STL,1164,MLS Next Pro
20220,Austin FC II,Austin II,ATX,1164,MLS Next Pro
20221,Los Angeles Football Club 2,Los Angeles II,LAFC,1164,MLS Next Pro
20222,Crown Legacy FC,Charlotte FC II,CLT,1164,MLS Next Pro
20223,Huntsville City FC,Huntsville City FC,HNT,1164,MLS Next Pro
